Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2015-04-30,43.441009521484375,44.17499111268769,43.273997533266204,43.840963783068304,6497000
2015-05-01,44.293663024902344,44.31124376606643,43.691538567654085,43.89810473166919,6683400
2015-05-04,44.315635681152344,44.47825165377287,44.161808401707304,44.390351309285194,4557800
2015-05-05,44.13543701171875,44.333217822846194,44.06511740454119,44.13983303503713,5104400
2015-05-06,44.04753875732422,44.3903548224137,43.810203784604546,44.06951216859355,5396600
2015-05-07,44.588130950927734,44.64966186572786,43.95963373274079,44.1486225005364,5526200
2015-05-08,45.02325439453125,45.40123199445817,44.95732744511443,44.95732744511443,5534800
2015-05-11,45.17707824707031,45.36606703255689,44.869420291086925,45.01445889805694,5339800
2015-05-12,44.99247360229492,45.13311614831265,44.65405027541355,44.82106560412278,4676400
2015-05-13,44.90018081665039,45.15070047645474,44.7375614976541,45.133119737656514,4508200
2015-05-14,45.46275329589844,45.493518752022474,44.966106621517646,45.24299907981723,5433400
2015-05-15,46.13957977294922,46.16155317459381,45.43197118826244,45.555032967654576,7865200
2015-05-18,46.03849411010742,46.36812533285282,45.89345556733572,46.19671736527979,5045200
2015-05-19,45.99015808105469,46.22749301620257,45.862700244409545,45.98136938857496,5971200
2015-05-20,45.97697448730469,46.21430942824211,45.801170454775146,46.11322101975315,5399200
2015-05-21,45.884681701660156,46.23628644094577,45.81435874189306,46.091251204496885,5455200
2015-05-22,45.897865295410156,46.2450773561031,45.72645727665054,46.240681332929384,5654800
2015-05-26,45.45396423339844,46.038511291312304,45.34848314164623,45.89786871791487,5691400
2015-05-27,45.19904708862305,45.673717016238115,44.966108148177696,45.480335579685686,8896800
2015-05-28,45.0844612121582,45.37091892222653,44.73630124567568,45.05361176511988,5781600
2015-05-29,44.806819915771484,45.119722460192364,44.529174848497824,45.08446834538323,5562200
2015-06-01,44.84647750854492,45.08005236935785,44.70985564928005,44.85088217065791,4944000
2015-06-02,45.000732421875,45.256344086231834,44.73190004424765,44.864113901628926,4974400
2015-06-03,45.177005767822266,45.43261400943446,44.85087922664373,45.08004941030093,4766800
2015-06-04,44.930206298828125,45.525165146805605,44.78477512666698,44.978684476994246,4467200
2015-06-05,44.96546173095703,45.06241808289906,44.56882363771104,44.73188689891691,3791800
2015-06-08,44.70546340942383,44.903780854414165,44.67901861771027,44.77597500853699,4314000
